metric,first_author,year,id,title,country,lme1,lme2,lme3,lme4,lme5,lme6,location,distance_to_shore,depth_min,depth_max,depth_ave,ecology,governance,socioecon,wave_height_average_m,sst_c,chla,policy_pathways,regulations,management_obstacles,gross_cost_usd,stakeholder_support,conflicts,aquaculture_present,wind_present,wave_present,tidal_present,other_present,phrase_identifier,definition,notes
,Abhinav et al,2020,ab_2020,"Offshore multi-purpose platforms for a Blue Growth: A technological, environmental and socio-economic review",,None,,,,,,,,,,,1,0,1,,,,,,,,"Wave/wind: job creation, low carbon impact, etc
aquaculture: food production","ORE: visual obstruction and conflict with fishermen
WEC: fishermen and other ocean space users
Aquaculture: workers rights, environmental impacts",1,1,1,0,1,,,
,Banach,2020,ba_2020,Food safety during seaweed cultivation at offshore wind farms: An exploratory study in the North Sea,,North Sea,,,,,,,,,,,0,1,0,,,,,,,,,,1,1,0,0,0,,,
,Benjamins et. al,2020,be_2020,Integrating Wind Turbines and Fish Farms: An Evaluation of Potential Risks to Marine and Coastal Bird Species,,North Sea,,,,,,Coastal waters of western and northern Scotland,,,,,1,0,0,,,,,,,,,,1,1,0,0,0,,,Thought experiment to assess potential for increased collision risks to local marine and coastal bird species due to integration of small wind turbines; Used a sensitivity index with 12 factors and found that large gulls and European shag are at greatest potential risk; 
,Nassar et al,2020,na_2020,Assessment of Multi-Use Offshore Platforms: Structure Classification and Design Challenges,,None,,,,,,,,,,,0,1,0,,,,,,,,,,1,1,1,1,1,Review,,
,Onyango et al,2020,on_2020,Is Demonstrating the Concept of Multi-Use Too Soon for the North Sea? Barriers and Opportunities from a Stakeholder Perspective,North Sea,North Sea,,,,,,variable,,,,,0,1,1,,,,national variability. Key barriers include lack of MU-friendly policies,national variability. ,requires MSP to process to enable co-existence of compatible actvities; discusses that some nations doNOT include Oil and gas as potential multiple use contributors,NOT EXACT #. discusses availbility of economic incentives (only 1 nation had these) and other economic Drivers/barriers.,notes oppoition to aquaculture/OWF as a barrier,notes oppoition to aquaculture as a barrier,1,1,1,1,1,User Conflicts,,examined 10 MU combinations (3 involved aquaculture). Notes the lack of general MU definition. There is no way to uniformly do MU b/c each nation has different regulations and the NS is a highly contested and crowded space (user conflicts)
,van den Burg et al,2020,vdb_2020,Development of multi-use platforms at sea: Barriers to realising Blue Growth,variable,None,,,,,,variable,,,,,0,1,1,,,,,,13 legal barriers were identified (6 hamper MUP development and 5 represent the lack of legislation to develop MUPs),NOT EXACT #. major economic barrier were identified (120 barriers across 6 categories),notes that social dynamics are given less attention. ,25 social barriers were identified,1,1,1,0,1,Barriers,,"FOCUSES ON BARRIERS TO MUP. qualitative review of 21 multi-use projects. focus on each project's contrbution to ""Blue Growth"". "
,van Hoof,2020,vh_2020,Can multi-use of the sea be safe? A framework for risk assessment of multi-use at sea,variable,North Sea,,,,,,variable,,,,,0,1,1,,,,,,Risk. Calls for collaboration across organizations to manage correctly.,,,,1,1,1,0,1,Safety/Risk,Schupp et al. (2019; p4) define such multi-use as:” … the joint use of resources in close geographic proximity by either a single user or multiple users. It is an umbrella term that covers a multitude of use combinations in the marine realm and represents a radical change from the concept of exclusive resource rights to the inclusive sharing of resources and space by one or more users.”,
,Bocci et al,2019,boc_2019,Multi-use of the sea: A wide array of opportunities from site-specific cases across Europe,Europe (variable),North Sea,Baltic Sea,Mediterranean Sea,Iberian Coastal,,,variable,,,,,0,1,1,,,,Drivers listed but NO barriers,"""the existence of a legal, regulatory and planning framework supporting and enabling MU is a key component for real MU development and operation.""",,NOT EXACT #. but drivers and barriers noted,,most social barriers were linked to aquaculture,1,1,1,1,1,Recommendations,,
,Bonnevie et al,2019,bon_2019,Assessing use-use interactions at sea: A theoretical framework for spatial decision support tools facilitating co-location in maritime spatial planning,EU,None,,,,,,,,,,,1,0,1,,,,,,,,"""positive user"" effects of shared visitor or shared staff",,1,0,0,0,1,Recommendations,“the same sea area can have simultaneously more than one use”,Great and thorough definition of co-location and the other terms (section 2.1). Other conclusions are generally vague
,Calado et al,2019,ca_2019,Multi-uses in the Eastern Atlantic: Building bridges in maritime space,East Atlantic,Iberian Coastal,,,,,,variable,,,,,0,1,1,,,,Calls for MSP and maritime planning ,"""In other cases, despite national legislation and marine plans not addressing the MU concept, some sectoral strategic documents refer to the combination of activities or synergies amongst users. An example is the Irish Offshore Renewable Development Plan (Irish Government/ Department of Communications Energy and Natural Resources, 2014), which sets forward a list of project-level mitigation measures addressing interactions with other maritime users""",need for international collaboration,,calls for early stakeholder engagement,conflicts with maritime activities,1,1,1,1,1,Recommendations,,
