metric,first_author,year,id,title,country,lme1,lme2,lme3,lme4,lme5,lme6,location,distance_to_shore,depth_min,depth_max,depth_ave,ecology,governance,socioecon,wave_height_average_m,sst_c,chla,reference,policy_pathways,regulations,management_obstacles,gross_cost_usd,stakeholder_support,conflicts,aquaculture_present,wind_present,wave_present,tidal_present,other_present,phrase_identifier,definition,notes
,Abhinav et al,2020,ab_2020,"Offshore multi-purpose platforms for a Blue Growth: A technological, environmental and socio-economic review",,None,,,,,,,,,,,1,0,1,,,,,,,,,"Wave/wind: job creation, low carbon impact, etc
aquaculture: food production","ORE: visual obstruction and conflict with fishermen
WEC: fishermen and other ocean space users
Aquaculture: workers rights, environmental impacts",1,1,1,0,1,,,
Wave,Fenu et al,2020,fe_2020,Analysis of a Gyroscopic-Stabilized Floating Offshore Hybrid Wind-Wave Platform,,North Sea,,,,,,,,210,210,210,0,0,1,6.5,,,,,,,,,,0,1,1,0,0,,,
Wave,Gaughan and Fitzgerald,2020,ga_2020,An assessment of the potential for Co-located offshore wind and wave farms in Ireland,Atlantic Ocean,Celtic Biscay Shelf,,,,,,,,10,200,105,1,0,1,,,,,,,,"NOT EXACT # but says that wind/wave combinations could reduce capital costs by 12-14% and reduce O&M costs by 250,000 euros a year",,,0,1,1,0,0,,,
Wave,Jahangir et al,2020,ja_2020,Feasibility study of a zero emission PV/Wind turbine/Wave energy converter hybrid system for stand-alone power supply: A case study,"Persian Gulf, the Gulf of Oman, and the Caspian Sea",Arabian Sea,,,,,,,50,,,,1,0,1,,,,,,,,Costs vary based on location (33.7-39.6M$ IC(?)) but optimal configurations are all photo/wind/battery and Pelamis wave convereted increases economic efficiency even more,,,0,1,1,0,1,,,
,Nassar et al,2020,na_2020,Assessment of Multi-Use Offshore Platforms: Structure Classification and Design Challenges,,None,,,,,,,,,,,0,1,0,,,,,,,,,,,1,1,1,1,1,Review,,
Wave,Oliveira-Pinto et al,2020,ol_2020_v1,Assessment of the potential of combining wave and solar energy resources to power supply worldwide offshore oil and gas platforms,,Gulf of Mexico,North Sea,West-Central Australian Shelf,,,,,,,,,0,0,1,2,,,,,,,"NOT EXACT # but using solar/wave combinations at O&G platforms at the three locations would contribute for a reduction of ca. 281,915 t/year of CO2 at each site. Table 3/4 gives costs of certian items in Euros/Watt Peak",,,0,0,1,0,1,,,examines economic and environmental aspects of powering O&G wiht solar/wave units
Wave,Oliveira-Pinto et al,2020,ol_2020_v2,Assessment of the potential of combining wave and solar energy resources to power supply worldwide offshore oil and gas platforms,,Gulf of Mexico,North Sea,West-Central Australian Shelf,,,,,,,,,0,0,1,2,,,,,,,"NOT EXACT # but using solar/wave combinations at O&G platforms at the three locations would contribute for a reduction of ca. 281,915 t/year of CO2 at each site. Table 3/4 gives costs of certian items in Euros/Watt Peak",,,0,0,1,0,1,,,examines economic and environmental aspects of powering O&G wiht solar/wave units
Wave,Oliveira-Pinto et al,2020,ol_2020_v3,Assessment of the potential of combining wave and solar energy resources to power supply worldwide offshore oil and gas platforms,,Gulf of Mexico,North Sea,West-Central Australian Shelf,,,,,,,,,0,0,1,5,,,,,,,"NOT EXACT # but using solar/wave combinations at O&G platforms at the three locations would contribute for a reduction of ca. 281,915 t/year of CO2 at each site. Table 3/4 gives costs of certian items in Euros/Watt Peak",,,0,0,1,0,1,,,examines economic and environmental aspects of powering O&G wiht solar/wave units
,Onyango et al,2020,on_2020,Is Demonstrating the Concept of Multi-Use Too Soon for the North Sea? Barriers and Opportunities from a Stakeholder Perspective,North Sea,North Sea,,,,,,variable,,,,,0,1,1,,,,,national variability. Key barriers include lack of MU-friendly policies,national variability. ,requires MSP to process to enable co-existence of compatible actvities; discusses that some nations doNOT include Oil and gas as potential multiple use contributors,NOT EXACT #. discusses availbility of economic incentives (only 1 nation had these) and other economic Drivers/barriers.,notes oppoition to aquaculture/OWF as a barrier,notes oppoition to aquaculture as a barrier,1,1,1,1,1,User Conflicts,,examined 10 MU combinations (3 involved aquaculture). Notes the lack of general MU definition. There is no way to uniformly do MU b/c each nation has different regulations and the NS is a highly contested and crowded space (user conflicts)
,van den Burg et al,2020,vdb_2020,Development of multi-use platforms at sea: Barriers to realising Blue Growth,variable,None,,,,,,variable,,,,,0,1,1,,,,,,,13 legal barriers were identified (6 hamper MUP development and 5 represent the lack of legislation to develop MUPs),NOT EXACT #. major economic barrier were identified (120 barriers across 6 categories),notes that social dynamics are given less attention. ,25 social barriers were identified,1,1,1,0,1,Barriers,,"FOCUSES ON BARRIERS TO MUP. qualitative review of 21 multi-use projects. focus on each project's contrbution to ""Blue Growth"". "
,van Hoof,2020,vh_2020,Can multi-use of the sea be safe? A framework for risk assessment of multi-use at sea,variable,North Sea,,,,,,variable,,,,,0,1,1,,,,,,,Risk. Calls for collaboration across organizations to manage correctly.,,,,1,1,1,0,1,Safety/Risk,Schupp et al. (2019; p4) define such multi-use as:” … the joint use of resources in close geographic proximity by either a single user or multiple users. It is an umbrella term that covers a multitude of use combinations in the marine realm and represents a radical change from the concept of exclusive resource rights to the inclusive sharing of resources and space by one or more users.”,
